Quantity,ProductId,id
1,25,1
1,16,2
1,243,3
1,188,4
2,179,5
1,46,6
1,115,7
2,193,8
2,211,9
1,121,10
1,199,11
2,28,12
1,238,13
2,212,14
1,53,15
1,235,16
1,238,17
1,242,18
1,115,19
1,13,20
1,168,21
1,165,22
1,184,23
1,125,24
2,63,25
1,154,26
1,159,27
1,114,28
1,220,29
1,183,30
2,217,31
1,219,32
1,154,33
1,200,34
1,18,35
1,96,36
1,56,37
2,24,38
1,203,39
2,166,40
3,26,41
2,183,42
2,240,43
1,163,44
1,19,45
2,224,46
2,184,47
1,129,48
1,6,49
2,65,50
2,51,51
1,235,52
2,33,53
1,221,54
1,164,55
3,154,56
1,75,57
1,87,58
1,60,59
1,38,60
2,153,61
3,137,62
1,208,63
1,173,64
1,102,65
2,210,66
1,184,67
1,183,68
1,128,69
2,41,70
1,144,71
1,48,72
1,52,73
1,204,74
1,199,75
1,194,76
2,117,77
2,7,78
1,88,79
1,53,80
1,234,81
1,72,82
1,64,83
1,20,84
2,80,85
2,55,86
2,245,87
1,172,88
1,245,89
2,85,90
1,202,91
1,114,92
1,163,93
1,14,94
2,123,95
2,57,96
1,177,97
1,88,98
1,136,99
1,218,100
1,123,101
1,235,102
1,127,103
1,6,104
1,198,105
1,69,106
1,36,107
1,46,108
1,123,109
1,245,110
1,47,111
1,36,112
1,174,113
2,59,114
2,118,115
1,97,116
1,117,117
1,103,118
3,98,119
1,16,120
1,223,121
1,224,122
1,155,123
1,206,124
2,184,125
1,139,126
1,242,127
1,74,128
1,250,129
1,241,130
1,177,131
1,241,132
1,181,133
1,23,134
2,8,135
1,141,136
2,29,137
3,206,138
1,65,139
1,219,140
2,60,141
1,126,142
2,68,143
3,210,144
1,181,145
1,162,146
2,211,147
1,239,148
1,107,149
1,151,150
1,11,151
1,207,152
1,151,153
1,39,154
1,150,155
1,216,156
1,156,157
1,13,158
2,163,159
1,123,160
1,149,161
1,49,162
1,67,163
1,6,164
2,45,165
1,100,166
1,202,167
2,170,168
1,157,169
2,195,170
1,117,171
2,12,172
1,28,173
